#ITEM,COMMAND,RESPONSE PASS,RESPONSE FAIL,LOWER(V),UPPER(V),ID,LCD PRINT,IO RLY CHANNEL,PARAM
MAC Bar code scan,,0,,,,BAR_SCA,,1,12,
CR60 Red off, FCT+LED-RED=0,OK,ERROR,2,3.3,LED_T,,29,
CR61 Red off, FCT+LED-RED=0,OK,ERROR,2,3.3,LED_T,,32,
CR66 Green on, FCT+LED-GREEN=1,OK,ERROR,1,1.5,LED_T,,18,
CR65 Green on, FCT+LED-GREEN=1,OK,ERROR,1,1.5,LED_T,,21,
CR64 Green on, FCT+LED-GREEN=1,OK,ERROR,1,1.5,LED_T,,24,
CR59 Green on, FCT+LED-GREEN=1,OK,ERROR,1,1.5,LED_T,,27,
CR60 Green on, FCT+LED-GREEN=1,OK,ERROR,1,1.5,LED_T,,30,
CR61 Green on, FCT+LED-GREEN=1,OK,ERROR,1,1.5,LED_T,,33,
CR66 Green off,FCT+LED-GREEN=0,OK,ERROR,2,3.3,LED_T,,18,
CR65 Green off,FCT+LED-GREEN=0,OK,ERROR,2,3.3,LED_T,,21,
CR64 Green off,FCT+LED-GREEN=0,OK,ERROR,2,3.3,LED_T,,24,
CR59 Green off,FCT+LED-GREEN=0,OK,ERROR,2,3.3,LED_T,,27,
CR60 Green off,FCT+LED-GREEN=0,OK,ERROR,2,3.3,LED_T,,30,
CR61 Green off,FCT+LED-GREEN=0,OK,ERROR,2,3.3,LED_T,,33,
CR66 Bule on,  FCT+LED-GREEN=1,OK,ERROR,1,1.5,LED_T,,19,
CR65 Bule on,  FCT+LED-GREEN=1,OK,ERROR,1,1.5,LED_T,,22,
CR64 Bule on,  FCT+LED-GREEN=1,OK,ERROR,1,1.5,LED_T,,25,
CR59 Bule on,  FCT+LED-GREEN=1,OK,ERROR,1,1.5,LED_T,,28,
CR60 Bule on,  FCT+LED-GREEN=1,OK,ERROR,1,1.5,LED_T,,31,
CR61 Bule on,  FCT+LED-GREEN=1,OK,ERROR,1,1.5,LED_T,,34,
CR66 Bule off, FCT+LED-GREEN=0,OK,ERROR,2,3.3,LED_T,,19,
CR65 Bule off, FCT+LED-GREEN=0,OK,ERROR,2,3.3,LED_T,,22,
CR64 Bule off, FCT+LED-GREEN=0,OK,ERROR,2,3.3,LED_T,,25,
CR59 Bule off, FCT+LED-GREEN=0,OK,ERROR,2,3.3,LED_T,,28,
CR60 Bule off, FCT+LED-GREEN=0,OK,ERROR,2,3.3,LED_T,,31,
CR61 Bule off, FCT+LED-GREEN=0,OK,ERROR,2,3.3,LED_T,,34,
Tamper1,FCT+TAMPER1=?,TAMPER1:1,,,,GPINR_T,,42,
Tamper1,FCT+TAMPER1=?,TAMPER1:0,,,,GPINR_T,,42,
Tamper2,FCT+TAMPER2=?,TAMPER2:1,,,,GPINR_T,,43,
Tamper2,FCT+TAMPER2=?,TAMPER2:0,,,,GPINR_T,,43,
Restore Button,FCT+DEFAULT=?,DEFAULT:1,,,,GPINR_T,,44,
Restore Button,FCT+DEFAULT=?,DEFAULT:0,,,,GPINR_T,,44,
LTE_Singal - CARD_DET,FCT+GPIO-1WIRE=1,OK,ERROR,,,GPOUT_T,,25,
LTE_Singal - CARD_DET,FCT+GPIO-1WIRE=0,OK,ERROR,,,GPOUT_T,,25,
LTE_Singal - GPIO2,FCT+GPIO-EMERG-OFF=1,OK,ERROR,,,GPOUT_T,,26,
LTE_Singal - GPIO2,FCT+GPIO-EMERG-OFF=0,OK,ERROR,,,GPOUT_T,,26,
LTE_Singal - PWR_Nen,FCT+GPIO-POWER-EN=1,OK,ERROR,,,GPOUT_T,,27,
LTE_Singal - PWR_Nen,FCT+GPIO-POWER-EN=0,OK,ERROR,,,GPOUT_T,,27,
LTE_Singal - RING,FCT+GPIO-RING=1,OK,ERROR,,,GPOUT_T,,28,
LTE_Singal - RING,FCT+GPIO-RING=0,OK,ERROR,,,GPOUT_T,,28,
LTE_Singal - IGT,FCT+GPIO-IGT=1,OK,ERROR,,,GPOUT_T,,29,
LTE_Singal - IGT,FCT+GPIO-IGT=0,OK,ERROR,,,GPOUT_T,,29,
LTE_Singal - PWR_MON,FCT+GPIO-POWER-MON=1,OK,ERROR,,,GPOUT_T,,30,
LTE_Singal - PWR_MON,FCT+GPIO-POWER-MON=0,OK,ERROR,,,GPOUT_T,,30,
WIFI,FCT+WIFI,PASS,FAIL,,,CMD,,,
ZWAVE,FCT+ZWAVE,PASS,FAIL,,,CMD,,,
LTE USB,FCT+USB,PASS,FAIL,,,CMD,,,
ECC508,FCT+ECC508,PASS,FAIL,,,CMD,,,
Wiselink program,FCT+WISELINK,PASS,FAIL,,,CMD,,,
BLE program,FCT+BLE,PASS,FAIL,,,CMD,,,
RF6 program,FCT+RF6,PASS,FAIL,,,CMD,,,
Coprocessor program,FCT+COPROCESSOR,PASS,FAIL,,,CMD,,,

,,,,,,RLY_CTL,,58,
,,,,,,RLY_CTL,,60,
ECP test,FCT+START,OK,ERROR,,,CMD,,,10
IB2 test,FCT+IB2=IB2test,OK,ERROR,,,IB2_T,,,
AC Power Monitor,FCT+AC?,AC:,ERROR,0,20,ADC_T,,,
Zone Power monitor,FCT+ZONEPOWER?,ZONEPOWER:,ERROR,0,20,ADC_T,,,
Zone1 test,FCT+ZONE1?,ZONE1:,ERROR,0,20,ZONE_T,,49,
Zone2 test,FCT+ZONE2?,ZONE2:,ERROR,0,20,ZONE_T,,50,
Zone3 test,FCT+ZONE3?,ZONE3:,ERROR,0,20,ZONE_T,,51,
Zone4 test,FCT+ZONE4?,ZONE4:,ERROR,0,20,ZONE_T,,52,
Zone5 test,FCT+ZONE5?,ZONE5:,ERROR,0,20,ZONE_T,,53,
Zone6 test,FCT+ZONE6?,ZONE6:,ERROR,0,20,ZONE_T,,54,
Zone7 test,FCT+ZONE7?,ZONE7:,ERROR,0,20,ZONE_T,,55,
Zone8 test,FCT+ZONE8?,ZONE8:,ERROR,0,20,ZONE_T,,56,
Trigger1 out high,FCT+TRIGGER1=1,OK,ERROR,,,CMD,,,
Trigger out1,,,,0,20,VOLG_T,,37,
Trigger1 out1,FCT+TRIGGER1=0,OK,ERROR,,,CMD,,,
Trigger out1,,,,0,20,VOLG_T,,37,
Trigger2 out2,FCT+TRIGGER2=1,OK,ERROR,,,CMD,,,
Trigger out2,,,,0,20,VOLG_T,,38,
Trigger out1,FCT+TRIGGER2=0,OK,ERROR,,,CMD,,,
Trigger out2,,,,0,20,VOLG_T,,38,
#Trigger out1,FCT+TRIGGER1=1,OK,ERROR,0,20,TRIGGER_T,,37,
#Trigger out1,FCT+TRIGGER1=0,OK,ERROR,0,20,TRIGGER_T,,37,
#Trigger out2,FCT+TRIGGER2=1,OK,ERROR,0,20,TRIGGER_T,,38,
#Trigger out2,FCT+TRIGGER2=0,OK,ERROR,0,20,TRIGGER_T,,38,

Aux power out,FCT+AUX=0,OK,ERROR,,,CMD,,,
Aux Power Test,,,,0,20,VOLG_T,,35,
Aux power out,FCT+AUX=1,OK,ERROR,,,CMD,,,
Aux Power Test,,,,0,20,VOLG_T,,35,
Aux Power Monitor,FCT+AUX?,AUX:,ERROR,0,20,ADC_T,,,
,,,,,,RLY_CTL,,75,
Aux Current Monitor,FCT+IAUX?,IAUX:,ERROR,0,20,ADC_T,,,
,,,,,,RLY_CLR,,75,

Siren power out,FCT+SRIEN=1,OK,ERROR,,,CMD,,
,,,,,,RLY_CTL,,76,
Siren Power Test,,,,0,20,VOLG_T,,35,
Aux Power Monitor,FCT+SRIEN?,SRIEN:,ERROR,0,20,ADC_T,,,
,,,,,,RLY_CLR,,76,
Siren power out,FCT+SRIEN=0,OK,ERROR,,,CMD,,
Siren Power Test,,,,0,20,VOLG_T,,35,
Aux Power Monitor,FCT+SRIEN?,SRIEN:,ERROR,0,20,ADC_T,,,

,,,,,,RLY_CTL,,45,
LTE ID,FCT+LTEID?,LTEID:,ERROR,0,20,ADC_T,,,
,,,,,,RLY_CLR,,45,

,,,,,,RLY_CTL,,46,
Expansion ID,FCT+EXID?,EXID:,ERROR,0,20,ADC_T,,,
,,,,,,RLY_CLR,,46,

,,,,,,RLY_CTL,,47,
WIFI ID,FCT+WIFIID?,WIFIID:,ERROR,0,20,ADC_T,,,
,,,,,,RLY_CLR,,47,

Battery Monitor,FCT+BATT?,BATT:,ERROR,0,20,ADC_T,,,

,,,,,,RLY_CLR,,58,
,,,,,,RLY_CLR,,60,
,,,,,,RLY_CTL,,57,
,,,,,,RLY_CTL,,59,

,,,,,,RLY_CTL,,74,
12V Voltage Test,,,,11.4,13,VOLG_T,,2,
,,,,,,RLY_CLR,,74,

Battery discharge,FCT+CHARGE=0,OK,ERROR,,,CMD,,,
,,,,,,RLY_CTL,,73,
12V Voltage Test,,,,11.4,13,VOLG_T,,2,
AC cut off,FCT+ACCUTOFF=1,OK,ERROR,,,CMD,,,
12V Voltage Test,,,,11.4,13,VOLG_T,,2,
,,,,,,RLY_CLR,,73,
12V Voltage Test,,,,11.4,13,VOLG_T,,2,



#BATTERY,FCT+BATTERY=1,,,,,,,,
#PKI,,,,,,,,,
